科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
729913,生物科技暨製藥技術系,D 日,B 學士,46,30,46,33,40,29,49,34,0,0,0,0,0,0,21,5
729913,生物科技暨製藥技術系,D 日,C 學士,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
729913,生物科技暨製藥技術系,N 修,B 學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
729977,醫藥衛生類產學專班,N 修,C 學士,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0
729988,醫藥衛生類產業研發專班,D 日,M 碩士,11,1,36,5,9,2,0,1,0,0,0,0,0,0,0,0
729988,醫藥衛生類產業研發專班,N 職,M 碩士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
729989,醫藥衛生類第二專長學位學程,D 日,X 4+X,12,26,10,4,10,5,0,0,0,0,0,0,0,0,1,0
760102,復健諮商研究所,D 日,M 碩士,10,14,7,14,3,19,6,15,0,0,0,0,0,0,0,0
760202,老人(長期)照顧(管理)系,D 日,B 學士,14,44,17,44,4,20,7,19,0,0,0,0,0,0,0,0
760202,老人(長期)照顧(管理)系,D 日,C 學士,0,0,0,0,10,59,4,35,0,0,0,0,0,0,1,5
760202,老人照顧科,D 日,2 二專,1,20,10,34,0,0,0,0,0,0,0,0,0,0,1,1
760202,老人(長期)照顧(管理)系,N 修,B 學士,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760202,老人(長期)照顧(管理)系,N 修,C 學士,0,0,0,0,8,79,6,63,6,66,0,0,0,0,1,0
760202,老人照顧科,N 修,2 二專,5,41,4,30,0,0,0,0,0,0,0,0,0,0,0,0
760203,老人服務事業管理學系,D 日,B 學士,57,259,43,261,51,203,43,215,0,0,0,0,0,0,8,14
760203,老人服務事業管理學系,D 日,C 學士,0,0,0,0,26,70,16,77,0,0,0,0,0,0,0,3
760203,老人服務事業(管理)科,D 日,5 五專,19,132,20,79,12,45,3,46,6,44,0,0,0,0,4,7
760203,老人服務事業管理學系,N 修,B 學士,41,32,28,25,27,44,28,62,0,0,0,0,0,0,14,16
760203,老人服務事業管理學系,N 修,C 學士,0,0,0,0,7,17,5,21,0,0,0,0,0,0,1,0
760203,老人服務事業(管理)科,N 修,2 二專,11,65,11,75,0,0,0,0,0,0,0,0,0,0,3,11
760204,福祉科技與服務管理系,D 日,M 碩士,6,9,5,6,4,2,4,0,0,0,0,0,0,0,0,0
760204,福祉科技與服務管理系,D 日,B 學士,12,35,11,38,10,19,17,21,0,0,0,0,0,0,0,0
760204,福祉科技與服務管理系,N 職,M 碩士,11,37,16,36,3,5,1,6,0,0,0,0,0,0,0,0
760204,福祉科技與服務管理系,N 修,B 學士,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760205,老人福利與事業系,D 日,B 學士,12,86,10,84,10,92,16,84,0,0,0,0,0,0,2,3
760205,老人福利與事業系,N 修,B 學士,12,30,17,26,17,31,8,31,0,0,0,0,0,0,5,11
760210,銀髮生活產業學位學程,N 修,B 學士,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0
760212,長青事業服務科,D 日,5 五專,4,8,3,11,2,6,5,11,3,13,0,0,0,0,0,0
760212,長青事業服務科,N 修,2 二專,2,21,1,11,0,0,0,0,0,0,0,0,0,0,0,0
760215,高齡社會健康管理科,D 日,2 二專,6,20,5,12,0,0,0,0,0,0,0,0,0,0,0,1
760215,高齡社會健康管理科,N 修,2 二專,2,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0
760216,老人福祉與社會工作學系,D 日,B 學士,12,40,4,8,15,71,16,59,0,0,0,0,0,0,1,1
760216,老人福祉與社會工作學系,N 修,C 學士,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0
760216,老人福祉與社會工作學系,P 進,B 學士,7,11,5,10,9,27,4,27,0,0,0,0,0,0,1,7
760217,銀髮族事業管理學位學程,D 日,B 學士,6,15,2,8,14,15,0,0,0,0,0,0,0,0,0,0
760217,銀髮族事業管理學位學程,D 日,C 學士,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0
760218,高齡健康促進科,N 修,2 二專,7,15,2,18,0,0,0,0,0,0,0,0,0,0,0,0
760219,高齡健康管理學系,D 日,B 學士,17,35,16,32,12,28,11,25,0,0,0,0,0,0,6,16
760301,(社會政策與)社會工作學系,D 日,D 博士,4,9,7,5,5,10,2,6,1,12,4,6,3,2,1,0
760301,(社會政策與)社會工作學系,D 日,M 碩士,53,157,45,156,31,130,26,122,0,0,0,0,0,0,11,40
760301,(社會政策與)社會工作學系,D 日,B 學士,349,1030,343,1061,285,1029,312,973,0,0,0,0,0,0,61,82
760301,(社會政策與)社會工作學系,D 日,C 學士,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
760301,(社會政策與)社會工作學系,N 職,M 碩士,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760301,(社會政策與)社會工作學系,N 修,B 學士,56,157,45,141,54,172,37,158,0,0,0,0,0,0,6,26
760301,(社會政策與)社會工作學系,N 修,C 學士,0,0,0,0,42,120,25,97,0,0,0,0,0,0,5,4
760301,(社會政策與)社會工作學系,P 進,B 學士,24,84,31,81,28,88,20,91,6,25,0,0,0,0,15,33
760303,醫學社會(學)與社會工作學系,D 日,M 碩士,5,9,4,13,3,3,1,6,0,0,0,0,0,0,0,1
760303,醫學社會(學)與社會工作學系,D 日,B 學士,32,129,30,118,35,132,40,112,0,0,0,0,0,0,7,6
